20,Football has gone soft man. Imagine them giving Kyle Kuzma an award cos he had the courage to attempt a game winner lmao. ; Bukayo Saka is set to be presented with the Freedom of Ealing award following his courage in the Euro 2020 final. The teenager will be the youngest person to ever receive the award.
13,Iranian people have initiated extensive strikes and protests following the boycott of presidential elections to overthrowing the Islamic republic. We demand all democratic countries sever diplomatic relations and support the people of Iran. Recall Your Ambassadors ; Recall Your Ambassadors
11,"People are wasting their time talking about an oncoming Presidential election in Kenya. The day they will embrace the fact that we have never had a Presidential election in Kenya, but a selection, they will be a happier lot. Happy selection for deep state!"
15,"someone earnestly chasing after a goal is cool & shining (literally キラキラ kira kira) & yuzu thinks that 透明感 is connected to that 'shine'. as a primary schooler, he really loved the sky after a typhoon, even loving the puddles on the ground (3/4)"
4,"Coalition forces intercept, destroy Houthi-fired explosive-laden drone"
8,"Mike Pompeo met with Taliban Head of the Political Office Mullah Beradar on September 12, 2020. Beradar is now set to become the new President of Afghanistan. President Trump had Beradar released from a Pakistani prison in 2018."
16," Did Obama direct how Trump should lead? Did Bush direct how Obama should lead? Did I direct how Lincoln should lead? Did ANY Former President direct how the current President should lead? ; Trump calls for Biden apology, Pentagon brass to resign over Afghanistan "
36,Only military coup can stop this - people need to be calling on the armed forces to step in.
12,"Let's go, show some love for EARTHQUAKE MEDIA! "
22,"$NXTP merger took 8!!!!!!!! months longer then I expected...when you read the link you will see what the (potential ) I see ; Appreciate it, I'll read it. $NXTP $OMQS is doing pretty well now on the news of the NASDAQ listing."
23,"Finally! Spotted a reporter...relief ; VIDEO: AP reporter calls out Biden State Dept spox Ned Price's bogus spin: You just challenged me to come up with an international agreement that the [Trump administration] signed that you guys have walked away from, and I just gave you, I think, 3."
39,"They will hold discussions, debates and deliberations on the agenda: Ceasefire in Israel Palestine post May 14 airstrikes. Click on the link to know more about eSAIMUN 2021- SAIMUN"
22,I heard that you are also divesting you stake as part of the IPO . LoL 
32,"“The lives of many of these people (in Tigray) depend on our ability to reach them w/ food, medicine, nutrition supplies & other humanitarian assistance. And we need to reach them now. Not next week. Now.” Tigray Cant Wait"
